captured_at,epoch_ms,pair,bid,ask,mid,spread,source_as_of,simulated
2026-09-13T13:17:41.393Z,1789305461393,USD/KHR,4049,4059,4054,10,2026-09-11,false
2026-09-13T17:22:55.643Z,1789320175643,USD/KHR,4049,4059,4054,10,2026-09-11,false
2026-09-13T20:42:44.173Z,1789332164173,USD/KHR,4049,4059,4054,10,2026-09-11,false
2026-09-13T23:05:33.942Z,1789340733942,USD/KHR,4049,4059,4054,10,2026-09-11,false
2026-09-14T04:47:13.837Z,1789361233837,USD/KHR,4050,4058,4054,8,2026-09-14,false
2026-09-14T14:50:01.414Z,1789397401414,USD/KHR,4051,4059,4055,8,2026-09-14,false
2026-09-14T19:45:35.852Z,1789415135852,USD/KHR,4051,4059,4055,8,2026-09-14,false
2026-09-14T22:59:53.001Z,1789426793001,USD/KHR,4051,4059,4055,8,2026-09-14,false
2026-09-15T01:15:50.194Z,1789434950194,USD/KHR,4051,4059,4055,8,2026-09-14,false
2026-09-15T07:24:57.384Z,1789457097384,USD/KHR,4051,4059,4055,8,2026-09-15,false
2026-09-15T13:16:48.198Z,1789478208198,USD/KHR,4051,4059,4055,8,2026-09-15,false
2026-09-15T18:01:22.925Z,1789495282925,USD/KHR,4051,4059,4055,8,2026-09-15,false
2026-09-15T21:06:45.189Z,1789506405189,USD/KHR,4051,4059,4055,8,2026-09-15,false
2026-09-16T00:02:19.215Z,1789516939215,USD/KHR,4051,4059,4055,8,2026-09-15,false
2026-09-16T04:37:54.787Z,1789533474787,USD/KHR,4051,4059,4055,8,2026-09-16,false
2026-09-16T09:44:59.009Z,1789551899009,USD/KHR,4051,4059,4055,8,2026-09-16,false
2026-09-16T14:41:59.657Z,1789569719657,USD/KHR,4051,4059,4055,8,2026-09-16,false
2026-09-16T18:44:47.943Z,1789584287943,USD/KHR,4051,4059,4055,8,2026-09-16,false
2026-09-16T21:57:28.039Z,1789595848039,USD/KHR,4051,4059,4055,8,2026-09-16,false
2026-09-17T00:11:57.557Z,1789603917557,USD/KHR,4051,4059,4055,8,2026-09-16,false
2026-09-17T05:52:26.859Z,1789624346859,USD/KHR,4051,4059,4055,8,2026-09-17,false
2026-09-17T11:14:16.247Z,1789643656247,USD/KHR,4051,4059,4055,8,2026-09-17,false
2026-09-17T16:31:26.687Z,1789662686687,USD/KHR,4051,4059,4055,8,2026-09-17,false
2026-09-17T20:04:22.150Z,1789675462150,USD/KHR,4051,4059,4055,8,2026-09-17,false
2026-09-17T22:48:58.132Z,1789685338132,USD/KHR,4051,4059,4055,8,2026-09-17,false
2026-09-18T01:06:24.817Z,1789693584817,USD/KHR,4051,4059,4055,8,2026-09-17,false
2026-09-18T07:11:16.001Z,1789715476001,USD/KHR,4051,4059,4055,8,2026-09-18,false
2026-09-18T12:47:38.280Z,1789735658280,USD/KHR,4051,4061,4056,10,2026-09-18,false
2026-09-18T16:58:48.082Z,1789750728082,USD/KHR,4051,4061,4056,10,2026-09-18,false
2026-09-18T19:28:02.207Z,1789759682207,USD/KHR,4051,4061,4056,10,2026-09-18,false
